eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
3,12,1,8,6,1,0,2,1,5,8,6,6,7,1,1,9,60,5,0,1,2,8,2,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,2,3,6,2,0,6,6,8,8,8,8,8,1,1,2,60,1,6,1,3,7,1,90,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,8,6,2,1,8,4,7,9,0,0,0,2,1,9,45,5,7,2,2,0,1,44,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,4,2,1,0,0,0,0,1.136,0,0,0,1,1,2,90,5,0,3,1,9,2,72,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,2,10,6,1,1,2,2,1,0,5,5,8,1,1,4,60,5,0,1,3,5,2,54,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,7,7,8,7,5,5,5,1,1,8,30,5,4,1,2,9,2,59,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,7.069333333333333,6,2,1,7,7,6,7,5,3,3,1,1,6,60,5,7,1,2,8,2,50,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3,6,1,0,5,5,5,6,5,3,5,1,1,5,30,5,4,2,2,5,2,71,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,2,7,6,1,1,5,5,5,7,0,0,1,1,1,7,60,5,7,2.1903333333333337,3,10,2,54,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,2,0,7,5,5,5,2,2,7,1,1,5,60,5,5,2,2,8,2,65,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,7,6,1,0,5,3,6,8,5,5,6,1,1,6,30,5,5,2,3,8,2,67,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,2,8,6,1,1,4,2,5,8,5,4,6,1,1,8,50,5,3,2,2,8,1,44,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,3,6,1,0,4,1,1,3,6,5,8,1,1,6,30,5,8,1,2,10,2,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,8,6,1,1,4,6,8,5,7,8,7,1,1,9,60,5,8,1,1,9,1,56,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,2,1,2,0,5,4,0,5,3,3,2,1,1,5,30,5,5,2,3,9,1,71,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,1,8,6,2,0,2,2,0,5,2,4,3,1,2,5,180,5,5,2,2,8,1,74,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
